1.262	5.19006e-07
1.263	1.01443e-06
1.264	1.95957e-06
1.265	3.74113e-06
1.266	7.05907e-06
1.267	1.31643e-05
1.268	2.42633e-05
1.269	4.41984e-05
1.27	7.95738e-05
1.271	0.000141591
1.272	0.000249003
1.273	0.000432793
1.274	0.000743462
1.275	0.00126224
1.276	0.00211802
1.277	0.00351255
1.278	0.00575728
1.279	0.00932648
1.28	0.0149321
1.281	0.0236281
1.282	0.0369526
1.283	0.0571164
1.284	0.0872532
1.285	0.131737
1.286	0.196579
1.287	0.289916
1.288	0.422582
1.289	0.608768
1.29	0.866761
1.291	1.21969
1.292	1.69631
1.293	2.33165
1.294	3.16761
1.295	4.253
1.296	5.64379
1.297	7.40195
1.298	9.5946
1.299	12.2917
1.3	15.5633
1.301	19.4758
1.302	24.0876
1.303	29.4439
1.304	35.5715
1.305	42.4729
1.306	50.1218
1.307	58.458
1.308	67.3857
1.309	76.7709
1.31	86.4425
1.311	96.1973
1.312	105.804
1.313	115.013
1.314	123.565
1.315	131.205
1.316	137.691
1.317	142.813
1.318	146.397
1.319	148.321
1.32	148.517
1.321	146.979
1.322	143.76
1.323	138.972
1.324	132.775
1.325	125.375
1.326	117.007
1.327	107.924
1.328	98.384
1.329	88.6414
1.33	78.9318
1.331	69.4661
1.332	60.4225
1.333	51.943
1.334	44.1329
1.335	37.0595
1.336	30.7569
1.337	25.2282
1.338	20.4521
1.339	16.3868
1.34	12.9763
1.341	10.1558
1.342	7.85565
1.343	6.00558
1.344	4.53764
1.345	3.38852
1.346	2.50091
1.347	1.82425
1.348	1.31516
1.349	0.937076
1.35	0.659898
1.351	0.459284
1.352	0.315931
1.353	0.214786
1.354	0.144319
1.355	0.0958397
1.356	0.0629025
1.357	0.0408029
1.358	0.0261576
1.359	0.0165712
1.36	0.010372
1.361	0.0064095
1.362	0.00390289
1.363	0.00232822
1.364	0.00133683
1.365	0.000696272
1.366	0.000248249
1.367	-0.000122343
1.368	-0.000511015
1.369	-0.0010136
1.37	-0.00174543
1.371	-0.00286268
1.372	-0.00458879
1.373	-0.00724882
1.374	-0.0113159
1.375	-0.0174733
1.376	-0.0266968
1.377	-0.0403637
1.378	-0.0603935
1.379	-0.0894248
1.38	-0.131037
1.381	-0.190022
1.382	-0.272697
1.383	-0.387287
1.384	-0.544314
1.385	-0.757066
1.386	-1.04204
1.387	-1.41939
1.388	-1.91329
1.389	-2.55223
1.39	-3.36916
1.391	-4.40122
1.392	-5.68956
1.393	-7.27835
1.394	-9.21359
1.395	-11.5415
1.396	-14.3061
1.397	-17.547
1.398	-21.2958
1.399	-25.573
1.4	-30.3845
1.401	-35.7179
1.402	-41.5397
1.403	-47.7919
1.404	-54.3912
1.405	-61.2272
1.406	-68.1642
1.407	-75.0421
1.408	-81.6803
1.409	-87.8821
1.41	-93.4425
1.411	-98.1539
1.412	-101.815
1.413	-104.239
1.414	-105.262
1.415	-104.75
1.416	-102.606
1.417	-98.7731
1.418	-93.2423
1.419	-86.0485
1.42	-77.2731
1.421	-67.0402
1.422	-55.5138
1.423	-42.8904
1.424	-29.393
1.425	-15.2657
1.426	-0.762853
1.427	13.856
1.428	28.3332
1.429	42.4213
1.43	55.8862
1.431	68.5148
1.432	80.1166
1.433	90.5289
1.434	99.6173
1.435	107.279
1.436	113.444
1.437	118.073
1.438	121.16
1.439	122.729
1.44	122.835
1.441	121.56
1.442	119.008
1.443	115.308
1.444	110.603
1.445	105.049
1.446	98.8098
1.447	92.0533
1.448	84.9428
1.449	77.6362
1.45	70.2796
1.451	63.0048
1.452	55.9247
1.453	49.1328
1.454	42.7006
1.455	36.6785
1.456	31.0935
1.457	25.9522
1.458	21.2424
1.459	16.9332
1.46	12.9785
1.461	9.31938
1.462	5.88641
1.463	2.60251
1.464	-0.614621
1.465	-3.84942
1.466	-7.18612
1.467	-10.7057
1.468	-14.4832
1.469	-18.5848
1.47	-23.0653
1.471	-27.9649
1.472	-33.3073
1.473	-39.096
1.474	-45.3143
1.475	-51.923
1.476	-58.8584
1.477	-66.0362
1.478	-73.3496
1.479	-80.6732
1.48	-87.8663
1.481	-94.7776
1.482	-101.251
1.483	-107.129
1.484	-112.266
1.485	-116.524
1.486	-119.789
1.487	-121.97
1.488	-123.006
1.489	-122.867
