0.5	0
0.501	0
0.502	0
0.503	0
0.504	0
0.505	0
0.506	0
0.507	0
0.508	0
0.509	0
0.51	0
0.511	0
0.512	0
0.513	0
0.514	0
0.515	0
0.516	0
0.517	0
0.518	0
0.519	0
0.52	0
0.521	0
0.522	0
0.523	0
0.524	0
0.525	0
0.526	0
0.527	0
0.528	0
0.529	0
0.53	0
0.531	0
0.532	0
0.533	0
0.534	0
0.535	0
0.536	0
0.537	0
0.538	0
0.539	0
0.54	0
0.541	0
0.542	0
0.543	0
0.544	0
0.545	0
0.546	7.4599e-319
0.547	1.27761e-315
0.548	2.11884e-312
0.549	3.384e-309
0.55	5.20468e-306
0.551	7.70889e-303
0.552	1.09957e-299
0.553	1.51038e-296
0.554	1.99794e-293
0.555	2.54514e-290
0.556	3.12231e-287
0.557	3.68868e-284
0.558	4.19663e-281
0.559	4.59794e-278
0.56	4.8513e-275
0.561	4.92932e-272
0.562	4.82335e-269
0.563	4.5451e-266
0.564	4.1245e-263
0.565	3.60439e-260
0.566	3.03338e-257
0.567	2.4584e-254
0.568	1.91873e-251
0.569	1.44214e-248
0.57	1.04384e-245
0.571	7.27601e-243
0.572	4.88411e-240
0.573	3.15727e-237
0.574	1.96549e-234
0.575	1.17832e-231
0.576	6.8028e-229
0.577	3.78221e-226
0.578	2.02506e-223
0.579	1.04415e-220
0.58	5.18465e-218
0.581	2.47919e-215
0.582	1.14165e-212
0.583	5.0628e-210
0.584	2.16212e-207
0.585	8.89208e-205
0.586	3.52176e-202
0.587	1.34323e-199
0.588	4.93369e-197
0.589	1.74513e-194
0.59	5.9445e-192
0.591	1.95001e-189
0.592	6.16016e-187
0.593	1.87405e-184
0.594	5.49037e-182
0.595	1.54901e-179
0.596	4.20865e-177
0.597	1.10119e-174
0.598	2.7747e-172
0.599	6.73291e-170
0.6	1.57334e-167
0.601	3.54059e-165
0.602	7.67294e-163
0.603	1.60133e-160
0.604	3.21835e-158
0.605	6.22899e-156
0.606	1.16101e-153
0.607	2.08395e-151
0.608	3.60224e-149
0.609	5.99639e-147
0.61	9.6126e-145
0.611	1.48397e-142
0.612	2.20618e-140
0.613	3.15858e-138
0.614	4.35487e-136
0.615	5.78217e-134
0.616	7.39334e-132
0.617	9.10381e-130
0.618	1.07954e-127
0.619	1.23279e-125
0.62	1.35572e-123
0.621	1.43577e-121
0.622	1.46431e-119
0.623	1.43818e-117
0.624	1.36028e-115
0.625	1.23901e-113
0.626	1.08682e-111
0.627	9.18056e-110
0.628	7.4682e-108
0.629	5.85054e-106
0.63	4.41376e-104
0.631	3.20667e-102
0.632	2.24354e-100
0.633	1.51163e-98
0.634	9.80825e-97
0.635	6.12872e-95
0.636	3.68792e-93
0.637	2.13711e-91
0.638	1.19262e-89
0.639	6.40936e-88
0.64	3.3171e-86
0.641	1.65324e-84
0.642	7.93498e-83
0.643	3.66766e-81
0.644	1.63255e-79
0.645	6.99802e-78
0.646	2.8888e-76
0.647	1.1484e-74
0.648	4.39645e-73
0.649	1.62086e-71
0.65	5.75466e-70
0.651	1.96756e-68
0.652	6.47842e-67
0.653	2.0542e-65
0.654	6.27265e-64
0.655	1.84455e-62
0.656	5.22354e-61
0.657	1.42453e-59
0.658	3.74121e-58
0.659	9.46204e-57
0.66	2.30458e-55
0.661	5.40543e-54
0.662	1.22096e-52
0.663	2.65588e-51
0.664	5.56348e-50
0.665	1.12232e-48
0.666	2.18033e-47
0.667	4.07907e-46
0.668	7.34906e-45
0.669	1.27508e-43
0.67	2.13046e-42
0.671	3.42802e-41
0.672	5.31186e-40
0.673	7.92654e-39
0.674	1.13908e-37
0.675	1.57636e-36
0.676	2.10083e-35
0.677	2.69625e-34
0.678	3.33244e-33
0.679	3.96641e-32
0.68	4.54638e-31
0.681	5.01843e-30
0.682	5.3346e-29
0.683	5.46097e-28
0.684	5.38357e-27
0.685	5.11098e-26
0.686	4.67273e-25
0.687	4.11406e-24
0.688	3.48822e-23
0.689	2.8482e-22
0.69	2.2396e-21
0.691	1.69591e-20
0.692	1.23671e-19
0.693	8.68493e-19
0.694	5.87352e-18
0.695	3.82528e-17
0.696	2.39917e-16
0.697	1.44908e-15
0.698	8.42862e-15
0.699	4.72121e-14
0.7	2.54674e-13
0.701	1.32296e-12
0.702	6.61827e-12
0.703	3.18841e-11
0.704	1.47923e-10
0.705	6.60896e-10
0.706	2.84356e-09
0.707	1.17821e-08
0.708	4.70131e-08
0.709	1.80654e-07
0.71	6.68512e-07
0.711	2.38234e-06
0.712	8.17582e-06
0.713	2.70204e-05
0.714	8.59976e-05
0.715	0.00026358
0.716	0.000777989
0.717	0.0022114
0.718	0.00605331
0.719	0.015957
0.72	0.0405084
0.721	0.0990309
0.722	0.233147
0.723	0.528593
0.724	1.15411
0.725	2.42663
0.726	4.91355
0.727	9.5812
